GeneSymbol,Subcellular_location
CDADC1,Cytoplasm
USP17L17,Nucleus
PURB,Nucleus
SIX3,Nucleus
ZNF117,Nucleus
CBX4,Nucleus
UPK3B,Cell membrane
RACGAP1,Nucleus
HIPK4,Cytoplasm
MEIS3,Nucleus
PRRC2A,Cytoplasm
SF1,Nucleus
TXNL1,Cytoplasm
UTP15,Nucleus
TMEM266,Cell membrane
IFI16,Cytoplasm
TULP2,Cytoplasm
IFIT1,Cytoplasm
REPIN1,Nucleus
RIOK3,Cytoplasm
UIMC1,Nucleus
AHCTF1,Cytoplasm
PCDHA13,Cell membrane
CILK1,Cytoplasm
ARID2,Nucleus
CBLB,Cytoplasm
TFAP2C,Nucleus
SEPSECS,Cytoplasm
ERI1,Cytoplasm
AP2A2,Cell membrane
TNFAIP1,Cytoplasm
NOC2L,Nucleus
CCDC68,Cytoplasm
IRF7,Nucleus
HIF1A,Cytoplasm
DDHD2,Cytoplasm
AJUBA,Cytoplasm
C11orf65,Cytoplasm
HOXD13,Nucleus
BIN3,Cytoplasm
HERC2,Cytoplasm
PDLIM4,Cytoplasm
VTA1,Cytoplasm
RFWD3,Nucleus
PIN1,Nucleus
UBL4A,Cytoplasm
ZNF485,Nucleus
SYCE3,Nucleus
CEMIP,Nucleus
SRFBP1,Cytoplasm
HNRNPDL,Nucleus
TYROBP,Cell membrane
GSK3B,Cytoplasm
SIM2,Nucleus
OR9Q2,Cell membrane
OR5B17,Cell membrane
ATP2B4,Cell membrane
KLHDC10,Nucleus
RALGAPA2,Cytoplasm
TBX3,Nucleus
ERVPABLB-1,Cell membrane
NCKIPSD,Nucleus
GCFC2,Nucleus
MAP10,Cytoplasm
MAPK8IP2,Cytoplasm
HTR1A,Cell membrane
ZNF595,Nucleus
SRP9,Cytoplasm
DTX3,Cytoplasm
ZAN,Cell membrane
HIVEP3,Cytoplasm
THEG,Nucleus
CNTLN,Cytoplasm
NKX2-2,Nucleus
NDEL1,Cytoplasm
LRRC39,Cytoplasm
IPO4,Cytoplasm
VIPAS39,Cytoplasm
ZNF354B,Nucleus
MTNR1B,Cell membrane
CLSTN1,Nucleus
PCDHA2,Cell membrane
GNAQ,Cell membrane
PIGH,Cytoplasm
KLHDC8B,Cytoplasm
C10orf82,Cytoplasm
OR2C3,Cell membrane
HOXD3,Nucleus
RTCB,Nucleus
PARD6G,Cytoplasm
OR4C3,Cell membrane
IRAK3,Cytoplasm
H1-10,Nucleus
LYPD3,Cell membrane
ADGRL1,Cell membrane
AFF1,Nucleus
TRPV6,Cell membrane
ARCN1,Cytoplasm
LRSAM1,Cytoplasm
MICB,Cell membrane
MAGOH,Nucleus
MINDY3,Nucleus
SAMD9,Cytoplasm
ZFP62,Nucleus
CACNB1,Cell membrane
ZNF141,Nucleus
NRG3,Cell membrane
ME1,Cytoplasm
LRRC8D,Cell membrane
ATOSA,Nucleus
EPHA7,Cell membrane
ZBTB2,Nucleus
TEX9,Cytoplasm
LYRM1,Nucleus
AFAP1L2,Cytoplasm
RPS6KA2,Nucleus
LHX6,Nucleus
TDRKH,Cytoplasm
GSTT1,Cytoplasm
ATAD5,Nucleus
PRDM13,Nucleus
PDE9A,Cytoplasm
DDX3Y,Cytoplasm
OR4F5,Cell membrane
SLC16A6,Cell membrane
RBMS1,Nucleus
DNAH2,Cytoplasm
HEBP1,Cytoplasm
RRP12,Nucleus
TSPYL2,Nucleus
EXOSC9,Nucleus
TAGLN,Cytoplasm
DUSP6,Cytoplasm
OTUB1,Cytoplasm
ASZ1,Cytoplasm
CRTAM,Cell membrane
H3C3,Nucleus
SLC10A1,Cell membrane
SP7,Nucleus
DDX54,Nucleus
RTRAF,Nucleus
ITPKA,Cytoplasm
NOLC1,Nucleus
CD84,Cell membrane
WASHC5,Cytoplasm
TUBE1,Cytoplasm
SHH,Cell membrane
IL1RAPL1,Cell membrane
INIP,Nucleus
SMIM45,Nucleus
NFRKB,Nucleus
MXD4,Nucleus
SSBP4,Nucleus
GPSM3,Cytoplasm
NIPSNAP2,Cytoplasm
CCDC69,Cytoplasm
ZNF490,Nucleus
INVS,Cytoplasm
MC1R,Cell membrane
SESN3,Cytoplasm
RPL39,Cytoplasm
CXCR4,Cell membrane
GPR25,Cell membrane
NPM3,Nucleus
OPN1SW,Cell membrane
GLI4,Nucleus
PPIAL4C,Cytoplasm
PLXNA4,Cell membrane
ZNF324,Nucleus
CACNA1S,Cell membrane
S100A1,Cytoplasm
SLF2,Nucleus
PLSCR1,Cell membrane
ZNF507,Nucleus
SLC41A2,Cell membrane
HDLBP,Cytoplasm
BANF1,Nucleus
CHD8,Nucleus
OR56A1,Cell membrane
ZNF222,Nucleus
PDE4B,Cytoplasm
DAPP1,Cytoplasm
DCX,Cytoplasm
KCNN4,Cell membrane
PLD1,Cytoplasm
COG5,Cytoplasm
GIT1,Cytoplasm
INF2,Cytoplasm
PAN3,Cytoplasm
NCAPD2,Nucleus
DCAF16,Nucleus
ZNF75D,Nucleus
CRTC3,Nucleus
NEK8,Cytoplasm
CAMK2B,Cytoplasm
IL17RD,Cytoplasm
ZFP90,Nucleus
IRX5,Nucleus
ZNF217,Nucleus
UBR1,Cytoplasm
MBNL2,Nucleus
PPM1D,Nucleus
LIME1,Cell membrane
FCER2,Cell membrane
USP17L5,Nucleus
IWS1,Nucleus
IFT80,Cytoplasm
BNIP2,Cytoplasm
TONSL,Nucleus
HELZ,Nucleus
SMARCA5,Nucleus
LMCD1,Cytoplasm
HOXC9,Nucleus
SLC1A2,Cell membrane
ZNF91,Nucleus
MCM3AP,Cytoplasm
ELAPOR2,Cell membrane
NBPF1,Cytoplasm
DDX19B,Cytoplasm
CLDN7,Cell membrane
HOXC11,Nucleus
ZNF576,Nucleus
ABCG2,Cell membrane
MED4,Nucleus
UFM1,Nucleus
RPRD1A,Nucleus
SARNP,Nucleus
LTA4H,Cytoplasm
CRPPA,Cytoplasm
ADIPOR1,Cell membrane
RTCA,Nucleus
USP17L4,Nucleus
SPECC1L,Cytoplasm
HTR1E,Cell membrane
NAA30,Cytoplasm
SLCO1C1,Cell membrane
JPT1,Nucleus
H1-1,Nucleus
GTF2F2,Nucleus
GJA9,Cell membrane
RNF20,Nucleus
YTHDF2,Cytoplasm
CRABP2,Cytoplasm
ZBTB3,Nucleus
NXF3,Nucleus
RILPL2,Cytoplasm
CTBP2,Nucleus
CSPG4,Cell membrane
GATA6,Nucleus
SPATA7,Cytoplasm
STUB1,Cytoplasm
THOP1,Cytoplasm
DXO,Nucleus
SETD4,Cytoplasm
CFAP161,Cytoplasm
MBTD1,Nucleus
TBATA,Cytoplasm
SH2B2,Cytoplasm
CENPI,Nucleus
MLXIP,Cytoplasm
LATS2,Cytoplasm
OR7A17,Cell membrane
FKBP4,Cytoplasm
ATP11A,Cell membrane
SGSM3,Cytoplasm
HINT3,Cytoplasm
TNNI3K,Nucleus
EN1,Nucleus
FBXO9,Cytoplasm
ZNF419,Nucleus
TSPY10,Cytoplasm
GEMIN7,Nucleus
SNRNP48,Nucleus
ZNF286A,Nucleus
DNAH8,Cytoplasm
BRSK1,Cytoplasm
DST,Cytoplasm
TAF5,Nucleus
OR51D1,Cell membrane
SLAIN1,Cytoplasm
CCDC106,Nucleus
MIP,Cell membrane
PTP4A1,Cell membrane
MDFI,Nucleus
IMPDH2,Cytoplasm
NLRP14,Cytoplasm
PNMA3,Nucleus
DHX38,Nucleus
ADGRG3,Cell membrane
PLEKHH2,Cytoplasm
LAS1L,Nucleus
SH3BGRL3,Cytoplasm
TLR1,Cell membrane
DAZ4,Cytoplasm
CWC25,Nucleus
ZNF573,Nucleus
GTF2IRD1,Nucleus
SEZ6,Cell membrane
NUBP2,Nucleus
MORC3,Nucleus
NUP85,Nucleus
DMRT2,Nucleus
ART3,Cell membrane
CTAG1B,Cytoplasm
CRIP3,Cytoplasm
CEACAM5,Cell membrane
NELL1,Cytoplasm
RPL23A,Cytoplasm
IFI44L,Cytoplasm
PPP2R3B,Nucleus
GNGT2,Cell membrane
TGFBR3,Cell membrane
MED13,Nucleus
COMMD5,Cytoplasm
NFATC4,Cytoplasm
SKI,Nucleus
ZNF506,Nucleus
MATK,Cytoplasm
FTO,Nucleus
EIF4E2,Cytoplasm
PPP1R1B,Cytoplasm
ADRB1,Cell membrane
FMN1,Nucleus
PSMG2,Nucleus
PRR11,Cytoplasm
PLS1,Cytoplasm
CD99L2,Cell membrane
TRAPPC14,Cytoplasm
SAPCD2,Cytoplasm
SAP30,Nucleus
CLEC12A,Cell membrane
FLRT2,Cell membrane
NHS,Cytoplasm
NFYC,Nucleus
NOX4,Nucleus
SLC6A3,Cell membrane
CD9,Cell membrane
ETV7,Nucleus
CARMIL3,Cytoplasm
ARHGAP27,Cytoplasm
ARHGEF4,Cytoplasm
DAGLA,Cell membrane
RPL36A,Cytoplasm
BAHD1,Nucleus
LRRC8C,Cell membrane
LLPH,Nucleus
LGR5,Cell membrane
ADGRA2,Cell membrane
CSTB,Cytoplasm
MLYCD,Cytoplasm
COG4,Cytoplasm
P2RY6,Cell membrane
CNTF,Cytoplasm
NEURL1B,Cytoplasm
CNTROB,Cytoplasm
AZIN2,Nucleus
CELSR2,Cell membrane
DDX39B,Nucleus
PTPN13,Cytoplasm
HTATSF1,Nucleus
RNF213,Cytoplasm
COMMD10,Cytoplasm
SENP7,Cytoplasm
IRX2,Nucleus
MYL9,Cytoplasm
DBN1,Cytoplasm
STAU1,Cytoplasm
EIF3F,Cytoplasm
THAP4,Cytoplasm
SPTBN1,Cell membrane
ZNG1E,Nucleus
CLASP2,Cytoplasm
FCRL1,Cell membrane
GPR148,Cell membrane
CEP295,Cytoplasm
OR10A7,Cell membrane
TRIM26,Cytoplasm
PHF21A,Nucleus
WEE1,Nucleus
DACT1,Cytoplasm
CARS1,Cytoplasm
CHIA,Cytoplasm
MDGA2,Cell membrane
PAX4,Nucleus
IMPDH1,Cytoplasm
SEC14L1,Cytoplasm
EPM2A,Nucleus
OR13C3,Cell membrane
USP17L22,Nucleus
TEKT2,Cytoplasm
TTC8,Cytoplasm
ENKD1,Cytoplasm
CPPED1,Cytoplasm
MMS19,Nucleus
CHAF1B,Nucleus
DYNC1H1,Cytoplasm
WRAP53,Nucleus
KANK2,Cytoplasm
CEP131,Cytoplasm
PLK5,Nucleus
ADH1B,Cytoplasm
ASXL3,Nucleus
ITLN1,Cell membrane
CHD3,Nucleus
NR1H4,Nucleus
LDB2,Nucleus
HBP1,Nucleus
SLC13A3,Cell membrane
PHF13,Nucleus
SUPT6H,Nucleus
CHMP5,Cytoplasm
CEP19,Cytoplasm
TSSC4,Nucleus
ATAT1,Cytoplasm
FAM110C,Cytoplasm
LCA5,Cytoplasm
OR5K1,Cell membrane
CCT4,Cytoplasm
POLR2G,Nucleus
DCLK3,Cytoplasm
POM121C,Nucleus
NPAS1,Nucleus
CDC40,Nucleus
OR2D3,Cell membrane
CFAP46,Cytoplasm
DIMT1,Nucleus
KLF7,Nucleus
PPIA,Cytoplasm
PKD1,Cell membrane
ZFX,Nucleus
OR14C36,Cell membrane
TRIM34,Cytoplasm
OR10A4,Cell membrane
ZNF2,Nucleus
MAGEB4,Cytoplasm
BDKRB2,Cell membrane
ITPKC,Nucleus
OR4D6,Cell membrane
ZSCAN29,Nucleus
ZNF765,Nucleus
MAPKBP1,Cytoplasm
OR11H1,Cell membrane
PABPC4,Cytoplasm
SCYL1,Nucleus
MBD3L2,Nucleus
SPRY4,Cytoplasm
PPP1R13L,Cytoplasm
H4C15,Nucleus
SNAP91,Cell membrane
ATRIP,Nucleus
EFHC1,Cytoplasm
BCL10,Cytoplasm
KDM4E,Nucleus
PCDHGA5,Cell membrane
SPZ1,Cytoplasm
RITA1,Cytoplasm
MOK,Cytoplasm
TAF15,Nucleus
ARRB2,Cytoplasm
CAMK2D,Cell membrane
ZNF483,Nucleus
HCFC1,Cytoplasm
BLID,Cytoplasm
OR4C6,Cell membrane
RBL1,Nucleus
FOXP3,Nucleus
ARNT2,Nucleus
AHRR,Cytoplasm
FGD1,Cytoplasm
TRPV2,Cell membrane
SMAGP,Cell membrane
DNAAF4,Nucleus
THAP11,Nucleus
REM2,Cell membrane
GLYCTK,Cytoplasm
USP9Y,Cytoplasm
KNOP1,Nucleus
EFCAB2,Cytoplasm
CLUH,Cytoplasm
TRHR,Cell membrane
RAPGEF6,Cytoplasm
MFHAS1,Cytoplasm
TUBGCP5,Cytoplasm
DAB2,Cytoplasm
STK40,Nucleus
IQGAP1,Cell membrane
HJV,Cell membrane
TRIM11,Cytoplasm
HDAC9,Nucleus
ZNF892,Nucleus
SSUH2,Cytoplasm
CFAP100,Cytoplasm
PEF1,Cytoplasm
OPRK1,Cell membrane
GPI,Cytoplasm
N4BP1,Cytoplasm
PRKDC,Nucleus
TBXA2R,Cell membrane
FOXP4,Nucleus
RNF7,Cytoplasm
SPTAN1,Cytoplasm
TRAT1,Cell membrane
DSCAML1,Cell membrane
TGIF2LY,Nucleus
ADSS2,Cytoplasm
PTK2B,Cytoplasm
TBR1,Nucleus
CCDC88A,Cell membrane
MEN1,Nucleus
FZD5,Cell membrane
ARMC1,Cytoplasm
EPAS1,Nucleus
OR2W3,Cell membrane
EIF6,Cytoplasm
IL2RB,Cell membrane
SENP2,Nucleus
CENPQ,Nucleus
ATXN10,Cytoplasm
UTY,Nucleus
CPSF3,Nucleus
ZNF616,Nucleus
FOXK1,Nucleus
DDB1,Cytoplasm
STRN3,Cytoplasm
RAB40B,Cell membrane
IL17RC,Cell membrane
SUSD2,Cell membrane
HID1,Cytoplasm
OR13C4,Cell membrane
FOXB1,Nucleus
FAM72A,Cytoplasm
FAM89B,Cytoplasm
SLC5A6,Cell membrane
GATA3,Nucleus
FNBP1L,Cytoplasm
CD180,Cell membrane
TBL1X,Nucleus
OR51G1,Cell membrane
TP53BP1,Nucleus
ARHGDIB,Cytoplasm
ZNF653,Nucleus
DHX30,Cytoplasm
FRG1,Nucleus
PAK1IP1,Nucleus
ELF4,Nucleus
CTDSP1,Nucleus
GNGT1,Cell membrane
NT5E,Cell membrane
NR2F2,Nucleus
PCGF3,Nucleus
CCSER2,Cytoplasm
STAMBP,Nucleus
NREP,Cytoplasm
ABCB5,Cell membrane
CNR1,Cell membrane
FZD4,Cell membrane
SDE2,Nucleus
CEP170,Cytoplasm
MXI1,Nucleus
MAP4K2,Cytoplasm
HAGH,Cytoplasm
CLOCK,Nucleus
SPAG7,Nucleus
LGALS12,Nucleus
STK11,Nucleus
FXYD3,Cell membrane
OR4D9,Cell membrane
FOXD4L4,Nucleus
ATG14,Cytoplasm
ARHGEF10L,Cytoplasm
PAX5,Nucleus
MYO18B,Cytoplasm
RDX,Cell membrane
RWDD3,Nucleus
SPRR2D,Cytoplasm
SIN3A,Nucleus
LYPD1,Cell membrane
WDR73,Cytoplasm
CRYM,Cytoplasm
RNF32,Cytoplasm
PBXIP1,Cytoplasm
UTF1,Nucleus
CLCA4,Cell membrane
ZNF721,Nucleus
AFG2B,Cytoplasm
APEH,Cytoplasm
DENND2A,Cytoplasm
MAP1S,Nucleus
ASCL1,Nucleus
ZNF772,Nucleus
ZNF32,Nucleus
ASH2L,Nucleus
GTF2H5,Nucleus
KIF22,Nucleus
GPR174,Cell membrane
CTU1,Cytoplasm
RHOQ,Cytoplasm
ZFC3H1,Nucleus
RBAK,Nucleus
MEFV,Nucleus
CDC42BPB,Cytoplasm
ZNF519,Nucleus
IPCEF1,Cytoplasm
HES5,Nucleus
SYNM,Cytoplasm
SERPINB8,Cytoplasm
KLLN,Nucleus
OR5M11,Cell membrane
PHKA2,Cell membrane
GFAP,Cytoplasm
KISS1R,Cell membrane
OR2AJ1,Cell membrane
ZNF511,Nucleus
OR8G5,Cell membrane
ZNF384,Nucleus
ZNF256,Nucleus
CCDC174,Nucleus
TNFAIP8L3,Cytoplasm
ZNF667,Nucleus
TUBA3C,Cytoplasm
PLCL2,Cytoplasm
EIF1AD,Nucleus
LHX2,Nucleus
GNA11,Cell membrane
KIR3DL3,Cell membrane
MUTYH,Nucleus
EGR2,Nucleus
ETS1,Nucleus
KIF21A,Cytoplasm
PNRC2,Nucleus
GJB1,Cell membrane
ZWINT,Nucleus
RAG2,Nucleus
LHFPL5,Cell membrane
CDH2,Cell membrane
RBMXL2,Nucleus
RRAS,Cell membrane
RNF167,Cytoplasm
KIAA0586,Cytoplasm
SNTG2,Cell membrane
BUD23,Nucleus
THUMPD3,Cytoplasm
ALX4,Nucleus
AAGAB,Cytoplasm
RHBDL2,Cell membrane
KLF16,Nucleus
HROB,Nucleus
SRGAP2,Cell membrane
ZNF568,Nucleus
GRPR,Cell membrane
SF3B1,Nucleus
WDR44,Cytoplasm
SSX2,Nucleus
DEPP1,Cytoplasm
ZNF597,Nucleus
EMB,Cell membrane
FHL5,Nucleus
CFAP276,Cytoplasm
PLRG1,Nucleus
ECE1,Cell membrane
AP5Z1,Cytoplasm
CIAPIN1,Cytoplasm
IZUMO1R,Cell membrane
RPSA,Cell membrane
UBASH3B,Cytoplasm
MZB1,Cytoplasm
SLA2,Cytoplasm
RBM8A,Nucleus
ALPI,Cell membrane
BUD31,Nucleus
DCP1A,Cytoplasm
INTS3,Nucleus
GCN1,Cytoplasm
COPS7B,Cytoplasm
CDK2,Cytoplasm
APOBEC3C,Nucleus
MYOT,Cell membrane
TK1,Cytoplasm
STK32A,Cell membrane
PCLAF,Nucleus
TBL1Y,Nucleus
CMKLR2,Cell membrane
TGM3,Cytoplasm
VN1R5,Cell membrane
PRMT8,Cell membrane
LRRC32,Cell membrane
DDB2,Nucleus
RANBP3,Cytoplasm
DSC3,Cell membrane
RPS12,Nucleus
ID3,Nucleus
MACROD2,Nucleus
F2RL1,Cell membrane
F2R,Cell membrane
OR4X1,Cell membrane
INTS15,Nucleus
OR11H7,Cell membrane
PIH1D1,Nucleus
TUT4,Nucleus
KMT5C,Nucleus
GSDMA,Cell membrane
SLC19A2,Cell membrane
KIF2A,Cytoplasm
KCTD20,Cytoplasm
OR52H1,Cell membrane
ASPA,Cytoplasm
ZNF69,Nucleus
SPDYA,Nucleus
EXD1,Cytoplasm
CDAN1,Cytoplasm
BHLHE22,Nucleus
HES3,Nucleus
TMEM150A,Cell membrane
CEP290,Cytoplasm
PIK3R5,Nucleus
OR2A4,Cell membrane
FOXP1,Nucleus
VCPKMT,Cytoplasm
NLGN3,Cell membrane
NABP1,Nucleus
HOXB2,Nucleus
USP7,Nucleus
JRKL,Nucleus
DDX1,Cytoplasm
OR5AK2,Cell membrane
OR10G3,Cell membrane
MTA2,Nucleus
GOLGA4,Cytoplasm
PEX1,Cytoplasm
ACTA1,Cytoplasm
CABP4,Cytoplasm
ZNF607,Nucleus
MINAR1,Cell membrane
PTPN3,Cell membrane
ANKRD54,Nucleus
DCPS,Cytoplasm
OSBPL6,Cytoplasm
JPH4,Cell membrane
ZNF774,Nucleus
MED20,Nucleus
NELFB,Nucleus
NFATC1,Cytoplasm
AMER1,Cytoplasm
ALOX15,Cytoplasm
ZNF396,Nucleus
OR6C70,Cell membrane
ZC4H2,Cytoplasm
RAB3D,Cell membrane
AKR1C8,Cytoplasm
CMTR2,Nucleus
ZNF157,Nucleus
CFAP45,Cytoplasm
S1PR4,Cell membrane
OR2A25,Cell membrane
UBC,Cytoplasm
RPE65,Cytoplasm
MITF,Nucleus
DTX2,Cytoplasm
CCDC112,Cytoplasm
DACH1,Nucleus
SAFB2,Cytoplasm
CSRNP2,Nucleus
IFNAR1,Cell membrane
MLH1,Nucleus
PACSIN2,Cytoplasm
GRM6,Cell membrane
ZNF281,Nucleus
CDC73,Nucleus
PREPL,Cytoplasm
ZNF710,Nucleus
SETD7,Nucleus
ZC3H18,Nucleus
MBD1,Nucleus
ANKRD16,Cytoplasm
FNBP1,Cytoplasm
MX2,Cytoplasm
ZNF3,Nucleus
LIMS2,Nucleus
STOX1,Nucleus
CFAP251,Cytoplasm
ERCC3,Nucleus
MEIOSIN,Nucleus
ADGRV1,Cell membrane
CSNK1E,Cytoplasm
CCDC134,Nucleus
LIG4,Nucleus
CFAP418,Cytoplasm
IMPACT,Cytoplasm
EXOSC7,Nucleus
DNAH7,Cytoplasm
SLC51B,Cell membrane
AGL,Cytoplasm
ALKBH8,Cytoplasm
XPO1,Cytoplasm
TBX19,Nucleus
MED23,Nucleus
ZNF652,Nucleus
OSBPL7,Cytoplasm
OVOL1,Nucleus
PRKCQ,Cytoplasm
OARD1,Nucleus
JMY,Nucleus
PSMD10,Cytoplasm
VIL1,Cytoplasm
KCNB1,Cell membrane
CALD1,Cytoplasm
MAST2,Cytoplasm
SLC2A3,Cell membrane
CDC34,Cytoplasm
PRAG1,Cytoplasm
GAPT,Cell membrane
RARS1,Cytoplasm
EIF3E,Cytoplasm
ZBTB21,Nucleus
KRT20,Cytoplasm
FLNC,Cytoplasm
LRP2BP,Cytoplasm
ZNF28,Nucleus
CTLA4,Cell membrane
MIB1,Cytoplasm
RASGRP1,Cytoplasm
GGPS1,Cytoplasm
NAP1L5,Nucleus
HIP1R,Cytoplasm
POU4F3,Nucleus
SKIC2,Nucleus
TRIP10,Cytoplasm
ZNF79,Nucleus
TNFSF14,Cytoplasm
ILF2,Nucleus
CELF5,Nucleus
NIBAN2,Cytoplasm
EID1,Nucleus
PTPRR,Cytoplasm
NME2,Cytoplasm
PLAAT5,Cytoplasm
NEDD4,Cytoplasm
CCR7,Cell membrane
TFDP3,Nucleus
RUFY1,Cytoplasm
DYRK1B,Nucleus
CD44,Cell membrane
CLIP2,Cytoplasm
MORC1,Nucleus
PABPN1,Nucleus
FLAD1,Cytoplasm
H3-3B,Nucleus
LILRB3,Cell membrane
SUV39H2,Nucleus
UNC5D,Cell membrane
SIGLEC14,Cell membrane
EFCAB9,Cytoplasm
SWAP70,Cytoplasm
HEPACAM,Cytoplasm
H2AC15,Nucleus
TRA,Cell membrane
INTU,Cytoplasm
ZNF841,Nucleus
KIRREL2,Cell membrane
ZSCAN30,Nucleus
GJA3,Cell membrane
NSUN2,Nucleus
BSPRY,Cytoplasm
BCL11B,Nucleus
ANAPC4,Nucleus
SPOUT1,Cytoplasm
H2AC13,Nucleus
MED25,Nucleus
OR51A2,Cell membrane
GPBP1L1,Nucleus
PPM1A,Nucleus
AIMP2,Cytoplasm
OR12D1,Cell membrane
MAP3K2,Cytoplasm
XAF1,Nucleus
H2BC7,Nucleus
NAALAD2,Cell membrane
PNMA2,Nucleus
SP1,Nucleus
SRCAP,Nucleus
PAK4,Cytoplasm
PIAS3,Cytoplasm
EBF4,Nucleus
CPNE2,Cytoplasm
ZNF331,Nucleus
ZNF180,Nucleus
TSEN2,Nucleus
TAOK3,Cytoplasm
ZKSCAN5,Nucleus
RPP30,Nucleus
CCDC61,Cytoplasm
PIDD1,Cytoplasm
TCF7L2,Nucleus
NAA50,Cytoplasm
ELF2,Nucleus
IFITM10,Cell membrane
FSHR,Cell membrane
RPF2,Nucleus
HAUS4,Cytoplasm
UBE2L3,Nucleus
HMGN4,Nucleus
SVBP,Cytoplasm
GTSE1,Cytoplasm
DDX21,Nucleus
OR2L3,Cell membrane
ZNF512,Nucleus
OMP,Cytoplasm
GET3,Cytoplasm
SAE1,Nucleus
HOXB1,Nucleus
KIRREL1,Cell membrane
STRAP,Cytoplasm
OR2K2,Cell membrane
FLG2,Cytoplasm
SLITRK6,Cell membrane
STX4,Cell membrane
MRTFB,Nucleus
LARP4,Cytoplasm
HIRA,Nucleus
ESYT3,Cell membrane
ART4,Cell membrane
COPS7A,Cytoplasm
NABP2,Nucleus
DPY30,Nucleus
KREMEN1,Cell membrane
TOP2A,Cytoplasm
RABGAP1,Cytoplasm
EIF5A,Cytoplasm
PRRT1,Cell membrane
HNRNPU,Nucleus
IVNS1ABP,Cytoplasm
OR8B12,Cell membrane
OPRM1,Cytoplasm
ABCG8,Cell membrane
NKX2-8,Nucleus
NAA10,Cytoplasm
WDR6,Cytoplasm
CCM2,Cytoplasm
ZNF473,Nucleus
BAZ1B,Nucleus
SLC41A1,Cell membrane
ATIC,Cytoplasm
PPP1R14C,Cytoplasm
ACTRT1,Cytoplasm
PCDHB14,Cell membrane
PPIC,Cytoplasm
NUPR1,Nucleus
ZNF518B,Nucleus
ENPP3,Cell membrane
UBE2Q2,Cytoplasm
NEDD8,Nucleus
RAD17,Nucleus
TDRD9,Cytoplasm
PHF19,Nucleus
SPRR2E,Cytoplasm
HSPH1,Cytoplasm
TIFA,Cytoplasm
MMS22L,Nucleus
NAP1L3,Nucleus
CRBN,Cytoplasm
RSPH1,Cytoplasm
KIF24,Cytoplasm
NOM1,Nucleus
TMEM41B,Cytoplasm
SSBP2,Nucleus
DLG2,Cell membrane
MUC13,Cell membrane
FOXD2,Nucleus
ZNF431,Nucleus
SLC8A3,Cell membrane
RPL10A,Cytoplasm
DCAF13,Nucleus
NLRP6,Cytoplasm
TRMT44,Cytoplasm
DAXX,Nucleus
DDHD1,Cytoplasm
SRP19,Cytoplasm
LIMK2,Cytoplasm
CABP5,Cytoplasm
POLR2I,Nucleus
LGALS13,Cytoplasm
SUB1,Nucleus
CRIPT,Cytoplasm
ZFP82,Nucleus
FZD1,Cell membrane
AKR1E2,Cytoplasm
ZNF154,Nucleus
PQBP1,Nucleus
KIF1C,Cytoplasm
PAX7,Nucleus
PPFIA4,Cytoplasm
NT5C,Cytoplasm
MARK3,Cell membrane
SMARCB1,Nucleus
IGF1R,Cell membrane
CETN2,Cytoplasm
MMACHC,Cytoplasm
TEKT3,Cytoplasm
NEUROD6,Nucleus
ZNF572,Nucleus
HSPB8,Cytoplasm
FYN,Cytoplasm
CDH10,Cell membrane
NHEJ1,Nucleus
ZNF316,Nucleus
KLF9,Nucleus
MYLK3,Cytoplasm
CNOT6L,Cytoplasm
MUC16,Cell membrane
SUMO2,Nucleus
FIGLA,Nucleus
AK1,Cytoplasm
PAX2,Nucleus
RGS10,Nucleus
MED6,Nucleus
DOK1,Cytoplasm
POLR3K,Nucleus
CD109,Cell membrane
PEBP1,Cytoplasm
BCL3,Nucleus
PRICKLE3,Cytoplasm
TADA2B,Nucleus
IL31RA,Cell membrane
NLGN1,Cell membrane
C11orf24,Cell membrane
OR10G2,Cell membrane
KLHL15,Nucleus
DCAF6,Nucleus
MRPS27,Cytoplasm
ARHGEF3,Cytoplasm
DMRT1,Nucleus
BATF3,Nucleus
PLAAT2,Cytoplasm
GRID1,Cell membrane
SERTAD2,Nucleus
CD247,Cell membrane
FOXH1,Nucleus
TAF1C,Nucleus
EGR3,Nucleus
NBEA,Cytoplasm
CR1L,Cytoplasm
TRIM22,Cytoplasm
UHRF2,Nucleus
TOB2,Cytoplasm
H2BC5,Nucleus
TRIM28,Nucleus
IGFLR1,Cell membrane
NKD2,Cell membrane
IL1F10,Cytoplasm
CAPNS1,Cytoplasm
ZNF594,Nucleus
ZNF184,Nucleus
IPO8,Cytoplasm
CSRNP3,Nucleus
RNF146,Cytoplasm
SMC6,Nucleus
FZR1,Cytoplasm
CDK8,Nucleus
YARS1,Cytoplasm
SCYL3,Cytoplasm
NBR1,Cytoplasm
DDX27,Nucleus
RHBG,Cell membrane
KIF17,Cytoplasm
ZBTB12,Nucleus
NACC2,Nucleus
PPP6R1,Cytoplasm
ATG12,Cytoplasm
DLGAP2,Cell membrane
ATG16L1,Cytoplasm
H2AZ1,Nucleus
KRT28,Cytoplasm
JUN,Nucleus
ZNF33A,Nucleus
PKN2,Cytoplasm
MMADHC,Cytoplasm
KHDRBS2,Nucleus
KRT8,Cytoplasm
NOC3L,Nucleus
APOBEC3H,Nucleus
PIM3,Cytoplasm
KLHDC2,Nucleus
USP11,Nucleus
ARFGAP3,Cytoplasm
RAP1B,Cell membrane
CFAP299,Cytoplasm
YWHAG,Cytoplasm
